Verfasser*in,Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datum normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reitter, Eugenie",,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1913-07-04,4 VII. 13,Marienbad,,,GER,"Ansichtspostkarte: ""MARIENBAD. Café Maxthal.""","Picture postcard: ""MARIENBAD. Café Maxthal.""",schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B5.18,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Brünn, Anastasius-Grün-Gasse",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Monath, Elisabeth",,,,"1 Brief, Manuskript, 1 Blatt; 1 Kuvert","1 letter, manuscript, 1 leaf; 1 envelope",,,,,,,1940-08-26,26 AGO 40,Rio,,,GER,Schreibpapier und Briefkuvert,Writing paper and envelope,"violette Tinte, schwarze Tinte","purple ink, black ink","Stefan Zweig, Lotte Zweig",,http://d-nb.info/gnd/1047605287,SZ-SEF/B7,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,"Zweig, Lotte; Monath, Paul",http://d-nb.info/gnd/116001151; ,Zusätzliche Beschriftung zur Zustellung,Additional labelling for delivery,"Hewlett (Long Island), Hewlett Harbour",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Sinaiberger, Hugo",http://d-nb.info/gnd/117400688,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1927-03-12,12 III 27,Cannes,,,GER,Postkarte,Postcard,"schwarze Tinte, violette Tinte","black ink, purple ink","Friderike Zweig, Stefan Zweig",,http://d-nb.info/gnd/1047605287,SZ-SEF/B8,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,"Zweig, Friderike",http://d-nb.info/gnd/118637460,Von Stefan Zweig diktierter und unterschriebener Text in Friderike Zweigs Handschrift,Text in Friderike Zweig's handwriting dictated and signed by Stefan Zweig ,"Prag, Palais Lucerna",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,"1 Briefkarte, Manuskript, 1 Blatt","1 letter card, manuscript, 1 leaf",,,,,,,,,Salzburg,,,GER,Briefkarte Stefan Zweig,Stefan Zweig letter card,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B9.1,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,I9. Dec.,,19. Dezember 1926,19. December 1926,1926-12-19,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"schwarzes Farbband, Bleistift","black ribbon, pencil",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B9.2,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Specht, Richard",http://d-nb.info/gnd/117481947,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,1927,1927,1927,,,,,GER,Schreibpapier,Writing paper,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B9.3,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Alfred",http://d-nb.info/gnd/1161770038,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1936-08-09,9 VIII 36,Cherbourg,,,GER,"Ansichtspostkarte: ""ROYAL MAIL TURBINE STEAMER  ""ALCANTARA"" (TWIN  SCREW 22.209 TONS GROSS) SOUTH AMERICAN SERVICE""","Picture postcard: ""ROYAL MAIL TURBINE STEAMER  ""ALCANTARA"" (TWIN  SCREW 22.209 TONS GROSS) SOUTH AMERICAN SERVICE""",schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B10,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Wien, Esslinggasse 16",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Friderike",http://d-nb.info/gnd/118637460,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,Herbst 22,Herbst 22,Oktober 1922,October 1922,1922-10,,,Salzburg,,GER,Schreibpapier,Writing paper,"violette Tinte, roter Farbstift","purple ink, red crayon",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B11,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Ida",http://d-nb.info/gnd/1080249249,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,10. August 1938,10. August 1938,,,1938-08-10,,London,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B12.1,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Ida",http://d-nb.info/gnd/1080249249,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1935-01-19,19 I 35,New York,,,GER,"Ansichtspostkarte: ""SS. CONTE DI SAVOIA NEW 50.000 TONS - SUPERLINER""","Picture postcard: ""SS. CONTE DI SAVOIA NEW 50.000 TONS - SUPERLINER""",schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B12.2,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Wien, Garnisongasse 10",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Csokor, Franz Theodor",http://d-nb.info/gnd/118522914,,,1 Kuvert,1 envelope,,,,,,,1908-06-11,11 6 08,Baden bei Wien,,,GER,Briefkuvert,Envelope,violette Tinte,purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B13,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,"Mödling bei Wien, Jasomirgottstraße 6",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Weisse, Adolf",http://d-nb.info/gnd/11729943X,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,Mai 1912,May 1912,1912-05,,Baden bei Wien,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B14,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Glücksmann, Heinrich",http://d-nb.info/gnd/116682256,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,11. Sept. 1911,11. Sept. 1911,,,1911-09-11,,Wien,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,schwarze Tinte,black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-SEF/B15,Inge und Erich Fitzbauer,Ankauf 2023,Acquisition 2023,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Deißinger, Hans",http://d-nb.info/gnd/130137251,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,12. Dezember 1932,12. Dezember 1932,,,1932-12-12,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"violettes Farbband, violette Tinte","purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,HD-AHL/B1,Nachlass Hans Deißinger,Schenkung vor 1997,Gift before 1997,,,,,,
"Zweig, Lotte",http://d-nb.info/gnd/116001151,,,,,,,"1 Deckblatt ""Copyr. Bureau Korresp. 1939""","1 cover sheet ""Copyr. Bureau Korresp. 1939""",,,,,,,,,,,,ENG,Schreibpapier,Writing paper,roter Farbstift,red crayon,Lotte Zweig,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.0,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,"November 14th, 1938.","November 14th, 1938.",,,1938-11-14,,London,,,ENG,Schreibmaschinenpapier,Typewriter paper,"schwarzes Farbband, rotes Farbband","black ribbon, red ribbon",,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.1,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,Abschrift des Originalbriefs,Copy of the original letter,"London, Haymarket, Dewar House",
"Heilbron, George",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,"November 15th, 1938.","November 15th, 1938.",,,1938-11-15,,London,,,ENG,Schreibmaschinenpapier,Typewriter paper,"schwarzes Farbband, rotes Farbband, blaue Stempelfarbe","black ribbon, red ribbon, blue stamp ink",,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.2,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,Abschrift des Originalbriefs,Copy of the original letter,"London, 49 Hallam Street",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,"9th December, 1938.","9th December, 1938.",,,1938-12-09,,London,,,ENG,Schreibmaschinenpapier,Typewriter paper,"schwarzes Farbband, rotes Farbband","black ribbon, red ribbon",,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.3,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,Abschrift des Originalbriefs,Copy of the original letter,"London, Haymarket, Dewar House",
"Heilbron, George",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,20. Januar 1939.,20. Januar 1939.,,,1939-01-20,,London,,,GER,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, schwarze Tinte","blue ribbon, black ink",George Heilbron,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.4,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"New York City, The Viking Press, 18 East 48th Street",
"Munsell, Warren",,"Theatre Guild, Inc.",http://d-nb.info/gnd/510308-3,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,"June 22, 1939.","June 22, 1939.",,,1939-06-22,,New York,,,ENG,Schreibmaschinenpapier,Typewriter paper,"schwarzes Farbband, rotes Farbband","black ribbon, red ribbon",,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.5,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,Abschrift des Originalbriefs,Copy of the original letter,"London, Haymarket, Dewar House",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,10. Juli 1939.,10. Juli 1939.,,,1939-07-10,,London,,,GER,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, schwarze Tinte","blue ribbon, black ink",Suzanne Czech,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.6,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,12. Juli 1939.,12. Juli 1939.,,,1939-07-12,,London,,,GER,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, rotes Farbband, schwarze Tinte","blue ribbon, red ribbon, black ink",Suzanne Czech,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.7,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lansdown Road, Lansdown Lodge",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskriptdurchschlag, 2 Blatt","1 letter, typescript carbon copy, 2 leaves",,,13. Juli 1939.,13. Juli 1939.,,,1939-07-13,,Bath,,,GER,Schreibmaschinenpapier,Typewriter paper,"schwarzes Durchschlagpapier, blaue Tinte, schwarze Tinte","black carbon paper, blue ink, black ink",Lotte Zweig,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.8,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,"Zweig, Lotte",http://d-nb.info/gnd/116001151,,,"London, Haymarket, Dewar House",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,18. Juli 1939.,18. Juli 1939.,,,1939-07-18,,London,,,GER,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, schwarze Tinte","blue ribbon, black ink",Suzanne Czech,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.9,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lansdown Road, Lansdown Lodge",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,18. Juli 1939.,18. Juli 1939.,,,1939-07-18,,London,,,GER,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, rotes Farbband, schwarze Tinte","blue ribbon, red ribbon, black ink",Suzanne Czech,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.10,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lansdown Road, Lansdown Lodge",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,18. Maerz 1940.,18. Maerz 1940.,,,1940-03-18,,London,,,GER,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, rotes Farbband, schwarze Tinte","blue ribbon, red ribbon, black ink",Suzanne Czech,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.11,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lansdown Road, Lansdown Lodge",
,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,10th May 1940.,10th May 1940.,,,1940-05-10,,London,,,ENG,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, schwarze Tinte","blue ribbon, black ink",,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.12,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lansdown Road, Lansdown Lodge",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,11th May 1940.,11th May 1940.,,,1940-05-11,,,,,ENG,Schreibmaschinenpapier,Typewriter paper,schwarzes Durchschlagpapier,black carbon paper,,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.13,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,14th May 1940.,14th May 1940.,,,1940-05-14,,,,,ENG,Schreibmaschinenpapier,Typewriter paper,schwarzes Durchschlagpapier,black carbon paper,,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.14,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, Haymarket, Dewar House",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",Tantiemenabrechnung,Royalty statement,15th May 1940.,15th May 1940.,,,1940-05-15,,London,,,ENG,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, rotes Farbband, schwarze Tinte","blue ribbon, red ribbon, black ink",,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.15,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lyncombe Hill",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,16th May 1940.,16th May 1940.,,,1940-05-16,,,,,ENG,Schreibmaschinenpapier,Typewriter paper,schwarzes Durchschlagpapier,black carbon paper,,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.16,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, Haymarket, Dewar House",
"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,"May 21st, 1940.","May 21st, 1940.",,,1940-05-21,,London,,,ENG,Briefpapier The International Copyright Bureau Ltd.,The International Copyright Bureau Ltd. stationary,"blaues Farbband, rotes Farbband, schwarze Tinte","blue ribbon, red ribbon, black ink",Suzanne Czech,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.17,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Bath, Lyncombe Hill",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Czech, Suzanne",,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskriptdurchschlag, 4 Blatt","1 letter, typescript carbon copy, 4 leaves",,,22nd May 1940.,22nd May 1940.,,,1940-05-22,,,,,ENG,Schreibmaschinenpapier,Typewriter paper,"schwarzes Durchschlagpapier, rote Tinte, blauschwarze Tinte","black carbon paper, red ink, blue-black ink",Lotte Zweig,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.18,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,"Zweig, Lotte",http://d-nb.info/gnd/116001151,"Drei Versionen des Briefes, eine davon mit Ergänzungen von Lotte Zweigs Hand","Three versions of the letter, one of them with additions in Lotte Zweig's hand","London, Haymarket, Dewar House",
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,The International Copyright Bureau Ltd.,http://d-nb.info/gnd/1197651861,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,22nd May 1940.,22nd May 1940.,,,1940-05-22,,,,,ENG,Schreibmaschinenpapier,Typewriter paper,schwarzes Durchschlagpapier,black carbon paper,,,http://d-nb.info/gnd/1047605287,SZ-AAP/B3.19,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, Haymarket, Dewar House",
